Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE ONE:Zone Thermostat Air Temperature [C](Hourly),DistrictHeating:Facility [J](Hourly) 
 01/19  10:00:00,0.45,20.,3362154.77047829 
 01/19  11:00:00,0.9125,20.,3416209.77064843 
 01/19  12:00:00,1.2875,20.,3101238.19525919 
 01/19  13:00:00,1.5875,20.,2142083.24460579 
 01/19  14:00:00,2.1375,20.,1221067.50978308 
 01/19  15:00:00,2.8375,20.,695303.234406579 
 01/19  16:00:00,2.725,20.,624582.059757746 
 01/19  17:00:00,2.375,20.,1384566.50974497 
 01/19  18:00:00,2.175,20.,1973578.85020188 
 01/19  19:00:00,2.1,20.0000000000002,2048998.34740622 
 01/19  20:00:00,2.0375,20.0000000000001,1569163.8617833 
 01/19  21:00:00,1.8125,20.0000000000001,1387906.44972482 
 01/19  22:00:00,1.45,20.0000000000001,1415975.78335622 
 01/19  23:00:00,1.1125,20.0000000000001,1463088.73883484 
 01/19  24:00:00,0.875,20.,1510545.74563063 
 01/20  01:00:00,0.2375,20.,1605128.69889315 
 01/20  02:00:00,-0.4125,20.,1734516.13534518 
 01/20  03:00:00,-0.35,20.,1763573.40693743 
 01/20  04:00:00,5.000000000000000E-02,20.,2587986.18608314 
 01/20  05:00:00,0.2,20.,3121320.5950266 
 01/20  06:00:00,0.2625,20.,3138713.91169495 
 01/20  07:00:00,0.3,20.,3137233.68901834 
